Date,Open,High,Low,Close,Adj Close,Volume
2025-01-02,418.50,427.30,417.80,426.75,426.75,22345678
2025-01-03,425.00,426.50,419.20,421.30,421.30,18234567
2025-01-06,420.00,424.80,418.60,423.90,423.90,21456789
2025-01-07,424.50,425.20,417.10,418.40,418.40,19876543
2025-01-08,417.80,424.10,416.50,423.10,423.10,20123456
2025-01-09,422.00,428.50,421.30,427.80,427.80,23456789
2025-01-10,427.00,429.00,415.60,415.90,415.90,25678901
2025-01-13,416.50,430.20,415.80,429.40,429.40,22987654
2025-01-14,429.00,431.50,426.70,428.60,428.60,19345678
2025-01-15,428.00,430.80,424.50,429.90,429.90,18765432
2025-01-16,430.00,446.20,429.50,445.80,445.80,31234567
2025-01-17,444.50,446.00,436.20,438.90,438.90,27654321
2025-01-21,439.00,445.50,437.80,444.30,444.30,24321098
2025-01-22,443.50,447.20,440.10,433.70,433.70,22109876
2025-01-23,434.00,446.50,433.50,446.10,446.10,25432109
2025-01-24,445.00,446.80,438.60,440.20,440.20,21098765
2025-01-27,438.00,440.50,413.80,414.30,414.30,35678901
2025-01-28,415.00,417.20,410.50,416.80,416.80,28901234
2025-01-29,416.00,418.50,412.30,417.40,417.40,24567890
2025-01-30,417.50,420.10,414.80,419.20,419.20,21345678
